nom_projet;arrond;date_fin_t;ope_statut;ope_type;ind_arb_plant;st_area_shape;geo_shape
ARB - TALUS BP 15-06 - Phase 2;16;2022-03-31T02:00:00+00:00;Réalisé;Arbre;65.0;435.3856763144606;"{""coordinates"": [[[2.2721890699147806, 48.87096029997966], [2.272090375341497, 48.87082399997745], [2.271963172019943, 48.87064710079528], [2.271792947856926, 48.870697990935675], [2.2720660138221045, 48.87097182506701], [2.2722087916337954, 48.87100089412778], [2.2721890699147806, 48.87096029997966]]], ""type"": ""Polygon""}"
ARB - TALUS BP 10-05;16;2025-03-19T01:00:00+00:00;Réalisé;Arbre;15.0;160.6813630459584;"{""coordinates"": [[[2.2553584771203816, 48.837772087507815], [2.2554400924763423, 48.837800775709034], [2.255592066771527, 48.83762748545663], [2.255513746963404, 48.83758661602787], [2.2553584771203816, 48.837772087507815]]], ""type"": ""Polygon""}"
Parc André Citroën (rénovation des serres et du grand canal);15;2024-06-30T02:00:00+00:00;Réalisé;Nouvelle surface d’espaces verts;2716.0;974.3052245057363;"{""coordinates"": [[[2.27396714628552, 48.8408866658337], [2.273882323421451, 48.840764791572006], [2.2727784093746317, 48.841207829056394], [2.273492209394118, 48.84107104949737], [2.27396714628552, 48.8408866658337]]], ""type"": ""Polygon""}"
ARB - TALUS BP 15-12 - Phase 2;16;2021-02-08T01:00:00+00:00;Réalisé;Arbre;90.0;341.7765416214339;"{""coordinates"": [[[2.2760749394551554, 48.87505535521003], [2.2758623036577115, 48.874813235612045], [2.275709897031193, 48.874854674450766], [2.2759067670975037, 48.87506726702673], [2.2760749394551554, 48.87505535521003]]], ""type"": ""Polygon""}"
ARB - TALUS BP 15-01 Pl de Colombie;16;2023-03-30T02:00:00+00:00;Réalisé;Arbre;29.0;456.24973097645716;"{""coordinates"": [[[2.2671647439619242, 48.864330226709896], [2.267581995899167, 48.86474095956748], [2.2676610644814907, 48.86470663126721], [2.267265969069354, 48.86427591219653], [2.2671647439619242, 48.864330226709896]]], ""type"": ""Polygon""}"
ARB - TALUS BP 15-03 Pl de Colombie;16;2023-03-31T02:00:00+00:00;Réalisé;Arbre;40.0;475.84639520252404;"{""coordinates"": [[[2.267992255689957, 48.864885119437616], [2.268434427565187, 48.865685797834466], [2.268498935481268, 48.86567409134081], [2.268063472993673, 48.86487791590165], [2.267992255689957, 48.864885119437616]]], ""type"": ""Polygon""}"
ARB - TALUS BP 18-06 Pte d'Asnières;17;2023-03-31T02:00:00+00:00;Réalisé;Arbre;16.0;817.3659795028786;"{""coordinates"": [[[2.3018009197352107, 48.89275955570673], [2.302414951500391, 48.893097432778106], [2.303373310373277, 48.893460953390004], [2.3033872882872912, 48.89344806192791], [2.3018344667771076, 48.892730092407916], [2.3018009197352107, 48.89275955570673]]], ""type"": ""Polygon""}"
ARB - TALUS BP 27-03 Pte du Pré St-Gervais;19;2023-03-30T02:00:00+00:00;Réalisé;Arbre;25.0;2820.0930151555863;"{""coordinates"": [[[2.4012391146736416, 48.88129097782492], [2.4012690004694415, 48.88194859874072], [2.401389027927504, 48.88198166460569], [2.4019420527419655, 48.881599011390605], [2.401632605603401, 48.88121539169967], [2.4012391146736416, 48.88129097782492]]], ""type"": ""Polygon""}"
Replantations DJS 2022-2023 - 11e ardt;11;2023-03-30T02:00:00+00:00;Réalisé;Arbre;1.0;98.18051517062675;"{""coordinates"": [[[2.378088067934236, 48.85963625469559], [2.3781540708356994, 48.85977346560134], [2.378263921740743, 48.859637168464495], [2.378088067934236, 48.85963625469559]]], ""type"": ""Polygon""}"
Nouvelles plantations dans les cimetières 2022-2023 - Ivry;21;2023-03-31T02:00:00+00:00;Réalisé;Arbre;6.0;1565.0226669056144;"{""coordinates"": [[[2.366597003676703, 48.8082403758674], [2.366979836265689, 48.808756405046864], [2.3673533585946154, 48.808258658748265], [2.366597003676703, 48.8082403758674]]], ""type"": ""Polygon""}"
Nouveaux arbres écoles 2022-2023 - 4e ardt;4;2023-03-30T02:00:00+00:00;Réalisé;Arbre;1.0;43.64322343028579;"{""coordinates"": [[[2.3567675647710056, 48.85586038810337], [2.356798087407988, 48.85594383570204], [2.356893840854558, 48.855855117624415], [2.3567675647710056, 48.85586038810337]]], ""type"": ""Polygon""}"
COURS OASIS EE Guadeloupe 2;18;2023-09-02T02:00:00+00:00;Réalisé;Végétalisation de l’espace public;1.0;2920.696823884104;"{""coordinates"": [[[2.362370621569333, 48.89124410044566], [2.3631783582182546, 48.89119679213266], [2.363094293800096, 48.89075842551354], [2.362381412735342, 48.890741673319305], [2.362370621569333, 48.89124410044566]]], ""type"": ""Polygon""}"
COURS OASIS EM Jean Dolent 11;14;2020-09-01T02:00:00+00:00;Réalisé;Végétalisation de l’espace public;3.0;768.5183659771508;"{""coordinates"": [[[2.3395602296757594, 48.833313961884706], [2.3401025976670566, 48.833180128777066], [2.3399695479478857, 48.83301282387389], [2.3394899535846365, 48.83317079863397], [2.3395602296757594, 48.833313961884706]]], ""type"": ""Polygon""}"
COURS OASIS COLL Pierre Alviset;5;2020-09-01T02:00:00+00:00;Réalisé;Végétalisation de l’espace public;2.0;1429.9878327025854;"{""coordinates"": [[[2.351427303134223, 48.84155303141493], [2.351820668929685, 48.84160750192314], [2.35178256312224, 48.84104809637606], [2.3515212171835267, 48.84104667991681], [2.351427303134223, 48.84155303141493]]], ""type"": ""Polygon""}"
Replantations écoles et crèches 2021-2022 - 15e ardt;15;2022-03-31T02:00:00+00:00;Réalisé;Arbre;3.0;312.5783014373687;"{""coordinates"": [[[2.3006553316217744, 48.84158256176928], [2.300670966421852, 48.84158140543436], [2.3006861628987347, 48.841577551712234], [2.300700459315162, 48.84157111769628], [2.300713421281755, 48.84156229888083], [2.3007246549557174, 48.84155136322112], [2.300733819007551, 48.84153864299165], [2.3007406349921777, 48.84152452469014], [2.3007448958093537, 48.84150943729404], [2.3007464719963058, 48.84149383922626], [2.3007453156613904, 48.84147820442618], [2.3007414619392588, 48.8414630079493], [2.300735027923308, 48.84144871153288], [2.3007262091078573, 48.84143574956628], [2.3007152734481506, 48.84142451589232], [2.3007025532186756, 48.84141535184049], [2.3006884349171672, 48.84140853585586], [2.300673347521073, 48.841404275038684], [2.300657749453289, 48.84140269885173], [2.3006421146532112, 48.84140385518665], [2.3006269181763286, 48.841407708908775], [2.3006126217599014, 48.84141414292473], [2.3005996597933085, 48.84142296174018], [2.300588426119346, 48.84143389739989], [2.3005792620675125, 48.84144661762936], [2.3005724460828856, 48.841460735930866], [2.3005681852657096, 48.84147582332697], [2.3005666090787575, 48.84149142139475], [2.300567765413673, 48.84150705619483], [2.3005716191358045, 48.84152225267171], [2.3005780531517552, 48.84153654908813], [2.300586871967206, 48.84154951105473], [2.3005978076269127, 48.84156074472869], [2.3006105278563878, 48.84156990878052], [2.300624646157896, 48.84157672476515], [2.3006397335539903, 48.841580985582326], [2.3006553316217744, 48.84158256176928]]], ""type"": ""Polygon""}"
