,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
0,"48.88783098977528,2.3865770061142113",8 Rue des Ardennes 75019 Paris,2375N1958716O,C,C,61.1,12.3,Il existe plusieurs descriptifs ENR,2022-11-17
1,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166221K,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
2,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1629968J,C,C,80.8,17.2,,2022-07-17
3,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137735X,A,A,33.0,2.0,pompe à chaleur,2024-12-09
4,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503783N,C,C,96.0,15.0,,2021-07-19
5,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041576L,C,C,53.5,19.7,,2022-09-07
6,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346180L,C,C,80.3,17.5,,2022-06-08
7,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346243W,C,C,73.1,15.9,,2022-06-08
8,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0500056E,B,A,57.0,1.0,panneaux solaires thermiques,2021-10-03
9,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1345935A,C,C,89.8,19.7,,2022-06-08
10,"48.875269964692954,2.412533950131655",15 Rue des Frères Flavien 75020 Paris,2475N1160638H,A,A,52.4,1.7,Il existe plusieurs descriptifs ENR,2024-02-20
11,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N0597981Q,B,A,112.1,3.5,panneaux solaires photovoltaïques,2024-01-02
12,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041483W,C,C,53.5,19.7,,2022-09-07
13,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909416X,B,A,44.0,3.0,,2024-03-10
14,"48.89484499463178,2.34364894149164",16 Rue Versigny 75018 Paris,2475N3244995W,B,A,42.0,3.0,chauffe-eau thermodynamique,2024-09-17
15,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454798E,B,B,56.0,9.0,,2021-09-06
16,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0959593W,C,C,123.4,27.2,,2021-12-20
17,"48.854195991854645,2.3976770439833124",18 Rue de Terre Neuve 75020 Paris,2175N0574601H,C,C,108.0,23.0,,2021-10-25
18,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116749T,C,C,56.0,12.0,pompe à chaleur,2024-12-10
