annee;arrondissement;latitude;longitude;periode;heure;vehicules;nombre;secteur
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;08h-09h;Deux roues-motorisés;136.0;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;12h-13h;Bus;5.0;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;14h-15h;Vélib's;2.6666666666666665;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;16h-17h;Taxis;30.0;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;16h-17h;Vélib's;2.6666666666666665;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;17h-18h;Bus;11.0;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;17h-18h;Vélos Personnels;10.666666666666666;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;10h-11h;Poids lourds;3.6666666666666665;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;11h-12h;Taxis;21.0;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;13h-14h;Véhicules Utilitaires;76.0;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;13h-14h;Vélos Personnels;7.0;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;17h-18h;Vélos Personnels;12.333333333333334;Maréchaux
2016-01-01;75016;48.86365;2.26936;MOYENNE DU 15 AU 16 NOVEMBRE 2016;20h-21h;Cars;0.0;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;08h-09h;Vélib's;2.6666666666666665;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;09h-10h;Bus;0.3333333333333333;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;13h-14h;Poids lourds;9.666666666666666;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;13h-14h;Bus;0.0;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;15h-16h;Vélib's;4.333333333333333;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;16h-17h;Véhicules Utilitaires;104.0;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;19h-20h;Vélos Personnels;8.0;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;08h-09h;Véhicules Utilitaires;215.66666666666666;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;09h-10h;Deux roues-motorisés;85.0;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;13h-14h;Poids lourds;11.666666666666666;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;17h-18h;Taxis;17.333333333333332;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;18h-19h;Deux roues-motorisés;80.0;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;18h-19h;Vélib's;2.3333333333333335;Maréchaux
2016-01-01;75018;48.88480;2.32696;MOYENNE DU 15 AU 16 NOVEMBRE 2016;20h-21h;Poids lourds;4.0;Maréchaux
2016-01-01;75020;48.86387;2.40889;MOYENNE DU 15 AU 16 NOVEMBRE 2016;09h-10h;Véhicules Particuliers;167.0;Maréchaux
2016-01-01;75020;48.86387;2.40889;MOYENNE DU 15 AU 16 NOVEMBRE 2016;13h-14h;Poids lourds;1.3333333333333333;Maréchaux
2016-01-01;75020;48.86387;2.40889;MOYENNE DU 15 AU 16 NOVEMBRE 2016;13h-14h;Bus;1.6666666666666667;Maréchaux
