statut_pdc;arrondissement;nom_station;nbre_pdc;date_mise_en_service;coordonneesxy
En service;Paris centre;Paris | SAGS Parking Lobau;21;2022-05-17T07:04:36+00:00;48.856796, 2.3538697
En service;Paris centre;Paris | SAGS Parking Lobau;21;2022-05-17T06:59:47+00:00;48.856796, 2.3538697
En service;16e Arrondissement;Paris | Avenue Marceau  59;5;2023-03-16T14:38:35+00:00;48.869892, 2.2976446
En service;20e Arrondissement;Paris | Rue Pelleport 86;4;2021-12-08T09:22:30+00:00;48.867603, 2.4021437
En service;10e Arrondissement;Paris | Rue du Faubourg Poissonnière 64;4;2021-11-23T16:20:25+00:00;48.87517, 2.348162
En service;19e Arrondissement;Paris | Avenue de la Porte d'Aubervilliers 10;6;2021-11-23T16:20:11+00:00;48.899334, 2.371162
En service;18e Arrondissement;Paris | Rue Sofia 16;6;2022-06-30T07:04:38+00:00;48.885006, 2.3475914
En service;17e Arrondissement;Paris | Avenue Carnot 28;6;2021-11-23T16:31:49+00:00;48.87683, 2.2928
En service;17e Arrondissement;Paris | Boulevard Pereire 50;4;2021-12-01T09:59:21+00:00;48.887695, 2.3050365
En service;17e Arrondissement;Paris | Rue Navier 47;6;2021-11-23T16:23:27+00:00;48.895756, 2.3242009
En service;16e Arrondissement;Paris | Rue Rémusat 8;6;2021-10-19T15:17:40+00:00;48.847847, 2.272306
En service;16e Arrondissement;Paris | Avenue Victor Hugo 180;6;2021-11-16T16:10:21+00:00;48.865818, 2.2762194
En service;16e Arrondissement;Paris | Rue Pétrarque 2;4;2021-11-09T10:56:44+00:00;48.861294, 2.28423
En service;16e Arrondissement;Paris | Avenue Victor Hugo 18;6;2021-11-09T10:50:56+00:00;48.87244, 2.2915578
En service;16e Arrondissement;Paris | Avenue Raymond Poincaré 51;6;2021-11-09T10:55:10+00:00;48.86697, 2.2858796
En service;16e Arrondissement;Paris | Avenue Raymond Poincaré 51;6;2021-11-09T10:55:03+00:00;48.86697, 2.2858796
En service;16e Arrondissement;Paris | Avenue Victor Hugo 60;6;2021-11-16T16:05:42+00:00;48.870342, 2.286851
En service;15e Arrondissement;Paris | Boulevard Pasteur 41;5;2021-11-09T10:54:32+00:00;48.842644, 2.313266
En service;15e Arrondissement;Paris | Rue Olier 15;5;2021-11-03T09:07:52+00:00;48.835197, 2.2914295
En service;15e Arrondissement;Paris | Rue Sébastien Mercier 44;6;2021-11-03T09:04:40+00:00;48.84391, 2.279693
En service;13e Arrondissement;Paris | boulevard Vincent Auriol 143;6;2021-10-26T14:00:35+00:00;48.832825, 2.36241
En service;12e Arrondissement;Paris | ter Rue de Picpus 122;6;2023-03-29T11:17:41+00:00;48.837315, 2.4022446
En service;12e Arrondissement;Paris | boulevard de Picpus 7;7;2021-11-09T11:03:36+00:00;48.840687, 2.400428
En service;11e Arrondissement;Paris | Avenue Ledru Rollin 104;5;2021-11-16T16:31:54+00:00;48.85189, 2.376434
En service;10e Arrondissement;Paris | Rue Rocroy 15;4;2021-11-23T16:22:00+00:00;48.880123, 2.3509617
En service;10e Arrondissement;Paris | Rue Rocroy 15;4;2021-11-23T16:21:53+00:00;48.880123, 2.3509617
En service;10e Arrondissement;Paris | boulevard de la Villette  55;5;2021-11-23T16:26:00+00:00;48.87565, 2.372715
En service;09e Arrondissement;Paris | Rue la Fayette 56;6;2022-08-19T13:01:03+00:00;48.875465, 2.342083
En service;08e Arrondissement;Paris | Rue de Courcelles 40;6;2021-10-26T14:16:39+00:00;48.876186, 2.3082976
En service;08e Arrondissement;Paris | Avenue Matignon 2;6;2021-10-19T15:26:30+00:00;48.87006, 2.312597
En service;07e Arrondissement;Paris | boulevard Saint-Germain 188;4;2021-10-19T15:30:23+00:00;48.85461, 2.329982
