CLASSE_VEHICULE,CATEGORIE_VEHICULE,CARBURANT,CRITAIR,PARC_2014,PARC_2015,PARC_2016,PARC_2017,PARC_2018,PARC_2019,PARC_2020,PARC_2021,PARC_2022,COMMUNE_CODE,COMMUNE_LIBELLE
vp,Véhicule particulier,Diesel,Crit'Air 2,2400,2770,2792,2957,2956,2901,2579,2351,1938,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,1000,815,703,645,559,491,413,370,318,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,419,383,355,312,292,256,205,172,148,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,104,104,88,75,58,42,40,35,29,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Diesel,Non classé,97,77,69,59,49,37,32,28,26,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,22,29,49,43,38,38,44,53,78,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,30,27,35,55,103,154,209,347,595,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,55,25,28,32,37,54,114,171,276,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Essence,Crit'Air E,0,0,0,0,0,0,0,0,0,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,724,856,1020,1184,1417,1657,1935,2070,2152,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,736,705,664,604,537,474,440,428,384,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,882,813,743,661,624,569,513,464,407,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Essence,Non classé,616,563,511,463,403,347,283,245,232,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,28,56,86,111,148,195,266,358,470,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,14,13,14,13,12,11,9,8,5,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,10,14,13,13,14,14,15,15,16,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 3,1,0,0,0,0,0,0,0,0,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,1,1,1,1,0,1,1,1,0,75101,Paris 1er Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,3058,3304,4313,4687,4090,3323,2947,2587,2158,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,1254,936,732,578,503,438,407,364,312,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,373,363,337,305,278,236,192,159,130,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,107,103,96,84,75,65,54,42,35,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,138,107,96,73,52,42,27,26,22,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,25,47,54,50,40,36,35,49,62,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,42,38,49,79,109,165,218,405,738,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,7,15,25,49,80,121,152,190,281,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,625,740,861,1088,1356,1608,1857,2044,2125,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,745,657,627,567,518,457,398,367,337,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,768,720,659,592,548,493,433,384,345,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Essence,Non classé,555,489,445,386,338,292,241,225,207,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,49,69,85,146,177,215,256,327,448,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,9,11,11,8,8,6,5,5,4,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,13,11,9,9,8,11,11,13,17,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,7,5,4,3,1,0,2,3,2,75102,Paris 2e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,1196,1337,1435,1456,1459,1478,1440,1476,1402,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,1043,948,866,814,737,666,592,544,481,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,535,521,499,470,435,378,300,248,206,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,160,138,120,102,83,71,50,43,38,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,244,218,174,131,97,75,58,39,29,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,8,17,23,24,25,18,17,24,24,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,24,23,27,38,58,73,91,145,250,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,3,5,9,17,30,47,68,110,171,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,729,866,1018,1233,1425,1625,1773,2001,2082,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,1037,992,954,884,823,770,729,694,634,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,1462,1397,1303,1190,1073,927,825,720,656,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Essence,Non classé,909,814,720,636,553,470,395,349,312,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,29,47,60,89,114,143,186,238,309,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,6,7,6,8,7,6,3,3,2,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,27,27,23,27,29,19,11,17,19,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,0,0,3,3,0,1,1,0,0,75103,Paris 3e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,871,988,1046,1165,1196,1277,1318,1239,1109,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,1051,1010,970,879,800,746,678,613,524,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,559,547,508,482,436,383,335,260,203,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,164,153,141,128,96,80,65,44,35,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,224,193,171,145,107,77,49,42,35,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 1,1,1,0,0,0,0,0,0,0,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,7,11,13,15,10,10,14,12,19,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,22,16,18,22,40,44,58,105,180,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,2,6,14,25,51,68,100,134,181,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,612,746,947,1153,1400,1634,1842,2023,2159,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,1192,1118,1097,997,870,776,711,626,610,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,1650,1586,1424,1328,1214,1079,977,858,774,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Essence,Non classé,996,908,782,640,541,476,414,341,292,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,17,36,64,91,122,150,192,247,324,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,8,8,8,7,8,9,6,5,5,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,90,94,50,43,44,39,35,32,32,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 3,0,0,0,0,0,0,0,0,0,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,17,14,12,11,11,7,2,2,3,75104,Paris 4e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,1843,2119,2285,2401,2411,2372,2313,2178,2003,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,2093,1949,1837,1722,1551,1415,1291,1216,1069,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,1177,1119,997,911,811,697,561,479,400,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,348,317,293,272,222,195,152,127,111,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,379,321,270,222,170,116,83,71,56,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,15,33,41,42,31,30,31,42,45,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,63,57,62,67,86,99,116,184,311,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 2,1,1,1,0,0,0,0,0,0,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,1,9,34,44,62,75,113,158,249,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,1273,1568,1961,2350,2837,3272,3713,4105,4280,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,2166,2103,1992,1881,1795,1673,1549,1466,1357,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,3147,2941,2704,2452,2234,2036,1811,1618,1409,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Essence,Non classé,1917,1696,1481,1227,1025,858,711,618,564,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,81,147,217,296,378,453,510,608,751,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,10,10,10,10,10,10,13,11,9,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,37,38,35,37,37,33,32,37,45,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,15,12,9,8,6,3,4,4,3,75105,Paris 5e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 1,1,0,0,0,0,0,0,0,0,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,1801,2098,2271,2407,2477,2546,2831,2785,2411,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,1587,1455,1350,1277,1185,1105,1009,896,793,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,762,709,633,570,528,471,390,327,291,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,237,221,191,170,137,109,90,69,55,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,229,208,173,134,111,93,59,44,42,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,9,20,31,33,31,24,31,31,36,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,40,44,51,67,100,123,170,259,426,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,5,8,22,38,60,77,121,178,270,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,1491,1745,2045,2356,2803,3224,3659,4024,4244,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,2171,2053,1904,1762,1650,1530,1433,1327,1208,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,2591,2413,2230,2062,1811,1689,1520,1359,1200,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Essence,Non classé,1616,1468,1321,1178,1026,879,764,670,607,75106,Paris 6e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,42,67,98,125,168,209,255,337,509,75106,Paris 6e Arrondissement
