TIME_PERIOD;AGE;OBS_VALUE_NIVEAU
2024;Y60T74;298997.0
2015;Y30T34;185264.0
2017;Y75T79;59830.0
2021;Y85T89;33891.0
2023;Y40T59;519723.0
2024;Y20T39;704291.0
2015;Y45T49;141784.0
2020;Y30T34;191128.0
2017;Y65T69;111590.0
2020;Y70T74;98368.0
2018;Y_LT5;106798.0
2022;Y5T9;87962.0
2019;Y60T64;112014.0
2016;Y55T59;123982.0
2016;Y85T89;34384.0
2020;Y_GE75;173278.0
2019;Y5T9;97316.0
2019;Y50T54;134473.0
2018;Y45T49;141500.0
2018;Y20T39;733438.0
2017;Y70T74;83308.0
2023;Y60T74;302952.0
2017;Y5T9;100552.0
2018;Y_LT20;417262.0
2014;Y_GE75;167006.0
2016;_T;2190327.0
2016;Y15T19;114405.0
2023;Y45T49;129796.0
2015;Y5T9;103950.0
2022;Y45T49;134210.0
2021;Y40T44;137931.0
2024;Y60T64;111979.0
2016;Y35T39;158039.0
2019;Y_GE95;6498.0
2014;Y10T14;99845.0
2018;Y70T74;89058.0
2014;Y90T94;17692.0
2021;Y_GE95;7708.0
2018;Y30T34;179729.0
2022;Y_LT5;90094.0
2019;Y_LT20;410686.0
2017;Y30T34;180171.0
2022;Y20T24;173673.0
2020;Y45T49;141642.0
2017;Y55T59;124021.0
2023;Y_LT5;87057.0
2017;Y10T14;98049.0
2020;Y20T39;715136.0
2015;Y55T59;124622.0
2014;Y70T74;72878.0
2021;Y65T69;100017.0
2022;Y80T84;48909.0
2024;Y_LT5;83279.0
2022;_T;2113705.0
2017;Y60T74;309022.0
2017;Y60T64;114124.0
2016;Y_LT20;426463.0
2018;Y10T14;97694.0
2022;Y60T64;111408.0
2020;Y40T59;539898.0
2022;Y50T54;130800.0
2017;Y15T19;114704.0
2017;Y80T84;48663.0
2023;Y20T24;173475.0
2019;Y20T24;156600.0
2022;Y85T89;34137.0
2018;Y5T9;97863.0
2016;Y40T44;151201.0
2018;Y60T64;111852.0
2024;Y50T54;131098.0
2020;Y60T74;312314.0
2024;Y30T34;183721.0
2023;Y10T14;93828.0
2018;Y20T24;173510.0
2020;Y_LT5;101216.0
2015;Y10T14;100008.0
2015;Y20T24;180347.0
2016;Y40T59;552963.0
2023;Y_GE95;7903.0
2023;Y15T19;111678.0
2016;Y10T14;98599.0
2024;Y45T49;126132.0
2014;Y60T64;122586.0
2021;Y40T59;535897.0
2018;Y60T74;309851.0
2023;Y80T84;50170.0
2019;Y40T59;545962.0
2017;Y40T59;550917.0
2016;Y5T9;102465.0
2016;Y20T24;178093.0
2021;Y5T9;92724.0
2014;Y15T19;115904.0
2024;Y90T94;18737.0
2021;_T;2133111.0
2023;Y25T29;197820.0
2017;Y20T24;177025.0
2016;Y65T69;114457.0
2018;Y50T54;136288.0
2021;Y80T84;49217.0
2018;Y55T59;124685.0
2024;_T;2070806.0
2020;Y85T89;34641.0
2020;Y50T54;131580.0
2018;Y75T79;61856.0
2015;Y50T54;137371.0
2016;Y60T64;115523.0
2019;Y70T74;94331.0
2023;Y50T54;131167.0
2020;Y60T64;111701.0
2018;Y_GE75;169441.0
2018;Y35T39;153669.0
2021;Y_LT5;94910.0
2024;Y40T44;130114.0
2015;Y15T19;115635.0
2017;Y35T39;155954.0
2024;Y5T9;78589.0
2014;Y85T89;34500.0
2016;Y60T74;306400.0
2014;Y20T24;185339.0
2019;Y10T14;97503.0
2017;Y_LT20;422752.0
2020;Y_LT20;405280.0
2015;Y20T39;741848.0
2024;Y85T89;34242.0
2020;Y25T29;213760.0
2019;Y85T89;34643.0
2023;Y85T89;33522.0
2017;Y25T29;223599.0
2016;Y50T54;136951.0
2021;Y_LT20;397220.0
2021;Y60T64;112280.0
2023;Y_GE75;187296.0
2016;Y_LT5;110994.0
2022;Y75T79;72196.0
2019;Y_LT5;108305.0
2016;Y80T84;48587.0
2016;Y70T74;76420.0
2015;Y60T74;304064.0
2022;Y_LT20;386432.0
2019;Y20T39;726942.0
2017;Y40T44;148213.0
2017;Y_LT5;109447.0
2018;Y40T59;545609.0
2021;Y20T39;711206.0
2021;Y75T79;66181.0
2014;_T;2220445.0
2022;Y60T74;308541.0
2023;Y20T39;707147.0
2023;Y75T79;76973.0
2014;Y40T59;561412.0
2022;Y40T59;526885.0
2019;Y40T44;141997.0
2019;Y25T29;223358.0
2014;Y20T39;752452.0
2022;Y70T74;98425.0
2022;Y30T34;189622.0
2023;Y65T69;96417.0
2022;Y10T14;96013.0
2014;Y_GE95;4344.0
2014;Y_LT20;437621.0
2016;Y30T34;180561.0
2017;Y50T54;137456.0
2016;Y75T79;60747.0
2015;Y85T89;34830.0
2014;Y30T34;187089.0
2021;Y70T74;101049.0
2022;Y_GE75;181453.0
2019;Y55T59;126523.0
2024;Y75T79;81504.0
2015;Y_GE95;4739.0
2020;Y20T24;157700.0
2015;Y_LT20;433635.0
2022;Y90T94;18399.0
2014;Y45T49;143745.0
2019;Y75T79;62792.0
2014;Y25T29;216838.0
2020;Y65T69;102245.0
2021;Y30T34;191696.0
2021;Y25T29;204643.0
2015;_T;2206488.0
2020;Y80T84;48394.0
2014;Y5T9;104333.0
2020;Y55T59;127755.0
2015;Y70T74;74747.0
2016;Y_GE95;5316.0
2021;Y45T49;138412.0
2019;Y60T74;311637.0
2024;Y65T69;94962.0
2024;Y55T59;122346.0
2021;Y35T39;147594.0
2020;Y75T79;64212.0
2022;Y20T39;710394.0
2016;Y20T39;737329.0
2016;Y25T29;220636.0
2014;Y60T74;301954.0
2016;Y45T49;140829.0
2024;Y_GE95;8314.0
2021;Y20T24;167273.0
2021;Y50T54;131573.0
2023;Y70T74;95809.0
2017;Y_GE95;5806.0
2019;Y45T49;142969.0
2024;Y_GE75;193409.0
2018;Y90T94;18629.0
2024;Y70T74;92056.0
2023;_T;2092813.0
2014;Y_LT5;117539.0
2017;_T;2187526.0
2022;Y55T59;126164.0
2014;Y65T69;106490.0
2017;Y85T89;34908.0
2024;Y_LT20;364419.0
2019;Y_GE75;170196.0
2019;Y65T69;105292.0
2019;Y80T84;47813.0
2023;Y60T64;110726.0
2023;Y_LT20;375695.0
2022;Y15T19;112363.0
2016;Y_GE75;167172.0
2018;Y25T29;226530.0
