annee;type_de_dechets;quantite;variation_annuelle_des_dechets
2019;♻️ Multimatériaux;40.0;0.0
2021;🗑️ Ordures ménagères résiduelles;300.0;4.0
2019;♻️ Emballages en verre;34.0;0.0
2020;♻️ Emballages en verre;29.0;-5.0
2022;♻️ Déchets occasionnels;61.0;11.0
2020;♻️ Déchets occasionnels;42.0;-6.0
2023;🗑️ Ordures ménagères résiduelles;307.0;-9.0
2022;♻️ Biodéchets;1.0;0.0
2020;♻️ Multimatériaux;34.0;-6.0
2023;♻️ Déchets occasionnels;44.0;-17.0
2023;♻️ Emballages en verre;34.0;-1.0
2020;🗑️ Ordures ménagères résiduelles;296.0;-45.0
2021;♻️ Emballages en verre;31.0;2.0
2021;♻️ Déchets occasionnels;50.0;8.0
2022;🗑️ Ordures ménagères résiduelles;316.0;16.0
2023;♻️ Multimatériaux;46.0;1.0
2019;🗑️ Ordures ménagères résiduelles;341.0;0.0
2022;♻️ Emballages en verre;35.0;4.0
2019;♻️ Biodéchets;1.0;0.0
2021;♻️ Biodéchets;1.0;0.0
2023;♻️ Biodéchets;1.0;0.0
2020;♻️ Biodéchets;1.0;0.0
2021;♻️ Multimatériaux;42.0;8.0
2019;♻️ Déchets occasionnels;48.0;0.0
2022;♻️ Multimatériaux;45.0;3.0
