annee;libelle_departement;Consommation agriculture (MWh);Consommation industrie (MWh);Consommation résidentiel (MWh);Consommation tertiaire (MWh);Consommation autre (MWh);Consommation totale (MWh);Consommation électricité agriculture (MWh);Consommation électricité industrie (MWh);Consommation électricité résidentiel (MWh);Consommation électricité tertiaire (MWh);Consommation électricité autre (MWh);Consommation électricité totale (MWh);Consommation gaz agriculture (MWh);Consommation gaz industrie (MWh);Consommation gaz résidentiel (MWh);Consommation gaz tertiaire (MWh);Consommation gaz autre (MWh);Consommation gaz totale (MWh);geom;geo_point_2d
2019;Paris;5513.304960882531;1193723.9156172266;9528440.001743231;12062193.592181426;347548.6480382354;23137419.462541003;3822.720460882531;537740.0305172266;4017488.2407332305;8703464.149011426;337007.37505823537;13599522.515781002;1690.5845;655983.8851;5510951.7610100005;3358729.44317;10541.27298;9537896.94676;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2018;Paris;5072.973909317734;1240421.3269336997;9805183.828068927;12593606.239168495;337173.56025890406;23981457.928339344;3389.0583893177345;553935.9867416996;4138207.5953489267;9082204.456708495;334423.64643890405;14112160.743627343;1683.91552;686485.3401919999;5666976.23272;3511401.78246;2749.9138199999998;9869297.184712;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2021;Paris;4551.504604500392;1384178.1562508414;9565251.676978951;12049915.180130199;27180.647644098146;23031077.165608592;1517.144774500392;575849.9174918415;4095268.435368952;8246334.4445202;27180.647644098146;12946150.589799592;3034.35983;808328.238759;5469983.24161;3803580.73561;0.0;10084926.575809;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2023;Paris;1447.9101;1179747.94295;7644133.341;8622952.392245;2955611.68238;20403893.268675;1201.922;512061.44;3554098.014;6299495.974125;1813472.637;12180329.987125;245.9881;667686.50295;4090035.327;2323456.41812;1142139.04538;8223563.2815499995;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2017;Paris;7376.9;514882.16;13905988.469999999;9021207.01;695010.92;24144465.46;5909.9;430658.68;6314994.47;7458032.01;789.9200000000001;14210384.979999999;1467.0;84223.48;7590994.0;1563175.0;694221.0;9934080.48;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2020;Paris;4825.02608218009;1211850.4832484312;9079152.308770273;10997006.676474385;43520.46916335417;21336354.96373862;1526.8804321800903;524063.0966784314;4055801.646520272;7996186.028064385;43520.46916335417;12621098.120858623;3298.14565;687787.38657;5023350.66225;3000820.64841;0.0;8715256.84288;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2014;Paris;6327.45;444280.59;13371807.21;8930367.98;243878.64;22996661.87;5238.45;376182.2;6268734.21;7547734.9799999995;46211.64;14244101.48;1089.0;68098.39;7103073.0;1382633.0;197667.0;8752560.39;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2015;Paris;6560.05;496166.73;13802078.620000001;9114869.280000001;297852.36;23717527.04;5404.05;423817.93;6360020.62;7578182.28;50605.36;14418030.239999998;1156.0;72348.8;7442058.0;1536687.0;247247.0;9299496.8;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2016;Paris;6021.41;514795.63;14570647.46;9268526.43;650422.48;25010413.41;4697.41;442625.29;6461126.46;7566431.43;9494.48;14484375.07;1324.0;72170.34;8109521.0;1702095.0;640928.0;10526038.34;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
2022;Paris;3362.55603029;2811211.6396509497;8047265.027115909;11792847.17539701;6321.58165671;22661007.97985087;1438.19341029;617306.19377595;3648644.60065591;8382238.60522701;6060.46759671;12655688.06066587;1924.3626199999999;2193905.4458749997;4398620.42646;3410608.57017;261.11406;10005319.919185;{'type': 'Feature', 'geometry': {'coordinates': [[[[2.319887175, 48.900459782], [2.384530046, 48.902147593], [2.395518095, 48.898264568], [2.399251618, 48.88536195], [2.41364931, 48.872403867], [2.41634113, 48.849233784], [2.424919696, 48.841807991], [2.440758153, 48.845964349], [2.463741475, 48.842023393], [2.469472534, 48.837047634], [2.462696063, 48.819059771], [2.437328615, 48.818176823], [2.429226897, 48.823621902], [2.40223735, 48.829589567], [2.363328924, 48.816148135], [2.331898061, 48.81701093], [2.279051931, 48.832489952], [2.255144238, 48.834809549], [2.250515689, 48.845555144], [2.224219106, 48.853516918], [2.228248359, 48.865161827], [2.258467171, 48.880387263], [2.27748703, 48.877968321], [2.285641616, 48.886554664], [2.319887175, 48.900459782]]]], 'type': 'MultiPolygon'}, 'properties': {}};{'lon': 2.342918088, 'lat': 48.856613508}
